C_PLDO_IN	1	1	V_PLDO_IN	gge16
C_PLDO_IN	2	2	GND	gge16
C_PLDO_OUT	1	1	GND	gge17
C_PLDO_OUT	2	2	AVDD	gge17
C_RST_DLY	1	1	ADS_RESET_N	gge158
C_RST_DLY	2	2	GND	gge158
C_USB5V_B	1	1	USB_5V	gge26
C_USB5V_B	2	2	GND	gge26
C_USB5V_H	1	1	USB_5V	gge27
C_USB5V_H	2	2	GND	gge27
C_USB_V3	1	1	CH340_V3	gge43
C_USB_V3	2	2	GND	gge43
C_USB_VCC	1	1	USB_5V	gge42
C_USB_VCC	2	2	GND	gge42
C_VCAP1	1	1	VCAP1	gge153
C_VCAP1	2	2	AVSS	gge153
C_VCAP1_H	1	1	VCAP1	gge169
C_VCAP1_H	2	2	AVSS	gge169
C_VCAP2	1	1	VCAP2	gge166
C_VCAP2	2	2	AVSS	gge166
C_VCAP3	1	1	VCAP3	gge167
C_VCAP3	2	2	AVSS	gge167
C_VCAP3_H	1	1	VCAP3	gge168
C_VCAP3_H	2	2	AVSS	gge168
C_VCAP4	1	1	VCAP4	gge154
C_VCAP4	2	2	AVSS	gge154
C_VREFP_100n	1	1	VREFP	gge151
C_VREFP_100n	2	2	AVSS	gge151
C_VREFP_10n	1	1	VREFP	gge152
C_VREFP_10n	2	2	AVSS	gge152
C_VREFP_10u	1	1	VREFP	gge150
C_VREFP_10u	2	2	AVSS	gge150
D_ESD	1	1	USB_DP	gge2
D_ESD	2	2	GND	gge2
D_ESD	3	3	USB_DM	gge2
D_ESD	4	4	USB_DM	gge2
D_ESD	5	5	USB_VBUS_RAW	gge2
D_ESD	6	6	USB_DP	gge2
D_LED	1	C	GND	gge54
D_LED	2	A	LED_A	gge54
F1	1	1	USB_VBUS_RAW	gge3
F1	2	2	USB_5V	gge3
FB1	1	1	USB_5V	gge8
FB1	2	2	V5_LM_IN	gge8
FB2	1	1	USB_5V	gge9
FB2	2	2	V_PLDO_IN	gge9
FB3	1	1	USB_5V	gge10
FB3	2	2	V_3V3_IN	gge10
FB4	1	1	VNEG5	gge21
FB4	2	2	V_NLDO_IN	gge21
FB5	1	1	VDD_ESP	gge30
FB5	2	2	DVDD	gge30
J1	1	GND	GND	gge1
J1	10	CC2	USB_CC2	gge1
J1	11	VBUS	USB_VBUS_RAW	gge1
J1	12	GND	GND	gge1
J1	13	SHELL	CHASSIS_GND	gge1
J1	14	SHELL	CHASSIS_GND	gge1
J1	2	VBUS	USB_VBUS_RAW	gge1
J1	3	SBU2	NC	gge1
J1	4	CC1	USB_CC1	gge1
J1	5	DN2	USB_DM	gge1
J1	6	DP1	USB_DP	gge1
J1	7	DN1	USB_DM	gge1
J1	8	DP2	USB_DP	gge1
J1	9	SBU1	NC	gge1
J2	1	1	FP1_ELEC	gge89
J2	10	10	A2_ELEC	gge89
J2	11	11	A1_ELEC	gge89
J2	12	12	CHASSIS_GND	gge89
J2	2	2	FP2_ELEC	gge89
J2	3	3	CH3_ELEC	gge89
J2	4	4	ECGP_ELEC	gge89
J2	5	5	ECGN_ELEC	gge89
J2	6	6	CH5_ELEC	gge89
J2	7	7	CH6_ELEC	gge89
J2	8	8	CH7_ELEC	gge89
J2	9	9	CH8_ELEC	gge89
LM2664	1	GND	GND	gge11
LM2664	2	OUT	VNEG5	gge11
LM2664	3	C1-	LM_CAP_N	gge11
LM2664	4	SD	V5_LM_IN	gge11
LM2664	5	V+	V5_LM_IN	gge11
LM2664	6	C1+	LM_CAP_P	gge11
Q_EN	1	B	Q_EN_B	gge49
Q_EN	2	E	CH_RTS_N	gge49
Q_EN	3	C	ESP_EN	gge49
